start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,hour,timeFormat,rat_arrival_number,rat_minutes,bat_landing_number,time,food_availability,predicted_food_availability,actual_hours_after_sunset
26/12/2017 20:57,1.0,,2017-12-26 20:53:00,2017-12-26 20:58:00,239,0,0,0,2017-12-26 16:43:00,4.248611111,0,20,2017-12-26 20:57:00,2,1.283333333,51,26/12/2017 20:43,2.968873797,2.75055378482,4.1822222
26/12/2017 20:57,5.0,,2017-12-26 20:53:00,2017-12-26 20:58:00,199,0,0,0,2017-12-26 16:43:00,4.2375,0,20,2017-12-26 20:57:00,2,1.283333333,51,26/12/2017 20:43,2.968873797,2.75055378482,4.1822222
26/12/2017 21:24,3.0,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,121,0,1,0,2017-12-26 16:43:00,4.693611111,0,21,2017-12-26 21:24:00,1,4.866666667,53,26/12/2017 21:13,2.561403509,2.5991459999999997,4.66
26/12/2017 21:24,15.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,88,1,0,0,2017-12-26 16:43:00,4.684444444,0,21,2017-12-26 21:24:00,1,4.866666667,53,26/12/2017 21:13,2.561403509,2.5991459999999997,4.66
26/12/2017 21:24,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,113,0,1,0,2017-12-26 16:43:00,4.691388889,0,21,2017-12-26 21:24:00,1,4.866666667,53,26/12/2017 21:13,2.561403509,2.5991459999999997,4.66
26/12/2017 21:24,5.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,128,0,1,0,2017-12-26 16:43:00,4.695555556,0,21,2017-12-26 21:24:00,1,4.866666667,53,26/12/2017 21:13,2.561403509,2.5991459999999997,4.66
26/12/2017 21:25,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,153,0,1,0,2017-12-26 16:43:00,4.7025,0,21,2017-12-26 21:25:00,1,4.866666667,53,26/12/2017 21:13,2.561403509,2.5991459999999997,4.66
26/12/2017 21:26,1.0,bat_fight,2017-12-26 21:22:00,2017-12-26 21:27:00,216,1,0,0,2017-12-26 16:43:00,4.72,0,21,2017-12-26 21:26:00,1,4.866666667,53,26/12/2017 21:13,2.561403509,2.5991459999999997,4.66
26/12/2017 21:26,10.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,208,1,0,0,2017-12-26 16:43:00,4.717777778,0,21,2017-12-26 21:26:00,1,4.866666667,53,26/12/2017 21:13,2.561403509,2.5991459999999997,4.66
27/12/2017 1:35,2.0,rat_and_no_food,2017-12-27 01:34:00,2017-12-27 01:41:00,37,1,0,0,2017-12-26 16:43:00,8.8725,0,1,2017-12-27 01:35:00,1,6.683333333,16,27/12/2017 1:13,0.0,1.2674617848199996,8.8622222
28/12/2017 3:58,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,107,0,1,0,2017-12-27 16:43:00,11.26277778,0,3,2017-12-28 03:58:00,1,16.01666667,5,28/12/2017 3:43,0.971774194,0.5161446803599996,11.2330556
28/12/2017 4:02,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,358,0,1,0,2017-12-27 16:43:00,11.3325,0,4,2017-12-28 04:02:00,1,16.01666667,5,28/12/2017 3:43,0.971774194,0.5161446803599996,11.2330556
28/12/2017 4:11,1.0,,2017-12-28 03:56:00,2017-12-28 04:13:00,852,0,0,0,2017-12-27 16:43:00,11.46972222,0,4,2017-12-28 04:11:00,1,16.01666667,5,28/12/2017 3:43,0.971774194,0.5161446803599996,11.2330556
28/12/2017 19:36,1.0,fast,2017-12-28 19:35:00,2017-12-28 19:46:00,14,0,1,0,2017-12-28 16:44:00,2.868888889,0,19,2017-12-28 19:36:00,1,8.1,23,28/12/2017 19:14,3.543859649,3.1679815,2.865
28/12/2017 19:36,2.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,40,1,0,0,2017-12-28 16:44:00,2.876111111,0,19,2017-12-28 19:36:00,1,8.1,23,28/12/2017 19:14,3.543859649,3.1679815,2.865
28/12/2017 19:37,26.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,68,1,0,0,2017-12-28 16:44:00,2.883888889,0,19,2017-12-28 19:37:00,1,8.1,23,28/12/2017 19:14,3.543859649,3.1679815,2.865
28/12/2017 19:44,5.0,rat_and_others,2017-12-28 19:35:00,2017-12-28 19:46:00,521,1,0,0,2017-12-28 16:44:00,3.009722222,0,19,2017-12-28 19:44:00,1,8.1,23,28/12/2017 19:14,3.543859649,3.1679815,2.865
28/12/2017 19:45,15.0,pick_and_others,2017-12-28 19:35:00,2017-12-28 19:46:00,564,1,1,0,2017-12-28 16:44:00,3.021666667,0,19,2017-12-28 19:45:00,1,8.1,23,28/12/2017 19:14,3.543859649,3.1679815,2.865
28/12/2017 19:46,24.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,607,1,0,0,2017-12-28 16:44:00,3.033611111,0,19,2017-12-28 19:46:00,1,8.1,23,28/12/2017 19:14,3.543859649,3.1679815,2.865
30/12/2017 18:37,16.0,rat,2017-12-30 18:35:00,2017-12-30 18:38:00,108,1,0,0,2017-12-30 16:45:00,1.870833333,0,18,2017-12-30 18:37:00,1,3.283333333,36,30/12/2017 18:15,4.0,3.4925399272299997,1.8408333
30/12/2017 19:51,4.0,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,41,0,1,0,2017-12-30 16:45:00,3.1075,0,19,2017-12-30 19:51:00,1,5.0,37,30/12/2017 19:45,3.067911715,3.0947423924099997,3.0961111
30/12/2017 19:51,0.074015603,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,17,0,1,0,2017-12-30 16:45:00,3.100833333,0,19,2017-12-30 19:51:00,1,5.0,37,30/12/2017 19:45,3.067911715,3.0947423924099997,3.0961111
30/12/2017 19:52,10.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,111,1,0,0,2017-12-30 16:45:00,3.126944444,0,19,2017-12-30 19:52:00,1,5.0,37,30/12/2017 19:45,3.067911715,3.0947423924099997,3.0961111
30/12/2017 19:54,24.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,215,1,0,0,2017-12-30 16:45:00,3.155833333,0,19,2017-12-30 19:54:00,1,5.0,37,30/12/2017 19:45,3.067911715,3.0947423924099997,3.0961111
30/12/2017 19:54,15.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,194,1,0,0,2017-12-30 16:45:00,3.15,0,19,2017-12-30 19:54:00,1,5.0,37,30/12/2017 19:45,3.067911715,3.0947423924099997,3.0961111
30/12/2017 19:54,13.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,253,1,0,0,2017-12-30 16:45:00,3.166388889,0,19,2017-12-30 19:54:00,1,5.0,37,30/12/2017 19:45,3.067911715,3.0947423924099997,3.0961111
1/01/2018 1:52,2.0,fast,2018-01-01 01:50:00,2018-01-01 01:55:00,115,0,1,1,2017-12-31 16:46:00,9.108333333,0,1,2018-01-01 01:52:00,1,4.933333333,18,1/01/2018 1:46,1.92688172,1.1995923575899998,9.0763889
10/01/2018 4:12,1.0,rat,2018-01-10 04:07:00,2018-01-10 04:15:00,306,1,0,1,2018-01-09 16:53:00,11.32222222,0,4,2018-01-10 04:12:00,1,8.566666667,18,10/01/2018 3:53,2.851612903,0.51482428482,11.2372222
10/01/2018 23:34,4.0,,2018-01-10 23:32:00,2018-01-10 23:34:00,113,0,0,1,2018-01-10 16:54:00,6.673888889,0,23,2018-01-10 23:34:00,2,2.05,38,10/01/2018 23:24,2.0,1.9708917499999998,6.6425
27/01/2018 23:44,0.049410419,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,12,0,1,1,2018-01-27 17:09:00,6.591111111,0,23,2018-01-27 23:44:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:44,1.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,14,0,1,1,2018-01-27 17:09:00,6.591666667,0,23,2018-01-27 23:44:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:45,6.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,49,1,0,1,2018-01-27 17:09:00,6.601388889,0,23,2018-01-27 23:45:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:45,3.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,68,0,1,1,2018-01-27 17:09:00,6.606666667,0,23,2018-01-27 23:45:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:45,8.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,84,1,0,1,2018-01-27 17:09:00,6.611111111,0,23,2018-01-27 23:45:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:46,31.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,122,1,0,1,2018-01-27 17:09:00,6.621666667,0,23,2018-01-27 23:46:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:47,0.010695699,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,186,0,1,1,2018-01-27 17:09:00,6.639444444,0,23,2018-01-27 23:47:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:48,2.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,231,0,1,1,2018-01-27 17:09:00,6.651944444,0,23,2018-01-27 23:48:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:48,9.0,pick,2018-01-27 23:44:00,2018-01-27 23:50:00,253,0,1,1,2018-01-27 17:09:00,6.658055556,0,23,2018-01-27 23:48:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
27/01/2018 23:48,1.0,gaze,2018-01-27 23:44:00,2018-01-27 23:50:00,246,0,0,1,2018-01-27 17:09:00,6.656111111,0,23,2018-01-27 23:48:00,1,6.083333333,64,27/01/2018 23:39,2.55,1.9882332151799997,6.5877778
